timestamp,cpu_seconds,gpu_util_pct,gpu_memory_mib,gpu_power_w
2026-07-28T19:44:52.6119623-07:00,,15,2138,7.41
2026-07-28T19:44:55.1018701-07:00,,10,2138,10.32
2026-07-28T19:44:57.4258404-07:00,,14,2138,7.58
2026-07-28T19:44:59.9131015-07:00,,14,2138,9.85
2026-07-28T19:45:02.1775346-07:00,,14,2139,7.65
2026-07-28T19:45:04.4264947-07:00,,22,2139,7.42
2026-07-28T19:45:06.7440921-07:00,,10,2139,10.36
2026-07-28T19:45:08.9341387-07:00,,21,2139,7.46
