timestamp,cpu_seconds,working_set_bytes,gpu_util_pct,gpu_memory_mib,gpu_power_w
2026-07-28T19:29:53.5657156-07:00,518.109375,1482584064,14,2112,7.82
2026-07-28T19:29:56.3941704-07:00,537.984375,1497346048,15,2115,7.41
2026-07-28T19:29:59.0595694-07:00,557.9375,1523568640,13,2115,7.77
2026-07-28T19:30:01.5301272-07:00,574.5,1521192960,15,2111,7.77
2026-07-28T19:30:03.9690058-07:00,591.953125,1531449344,12,2113,7.79
2026-07-28T19:30:06.3259265-07:00,609.984375,1536245760,15,2113,7.78
2026-07-28T19:30:08.6890263-07:00,628.359375,1538801664,14,2115,7.82
2026-07-28T19:30:11.1877758-07:00,647.890625,1538367488,14,2115,7.80
2026-07-28T19:30:13.5109432-07:00,665.046875,1538367488,16,2112,7.77
2026-07-28T19:30:15.8920623-07:00,683,1538826240,15,2115,7.80
